,Ear_left_x,Ear_left_y,Ear_left_p,Ear_right_x,Ear_right_y,Ear_right_p,Nose_x,Nose_y,Nose_p,Center_x,Center_y,Center_p,Lat_left_x,Lat_left_y,Lat_left_p,Lat_right_x,Lat_right_y,Lat_right_p,Tail_base_x,Tail_base_y,Tail_base_p,Tail_end_x,Tail_end_y,Tail_end_p,MY_CUE_LIGHT,MY_CUE_LIGHT_INTENSITY
507,441,453,0,467,460,0,466,438.10535,0,505,447,0,503,463,0,509,428,0,552.3413,455,0,627.1164,473,0,1,134.065626
508,441,453,0,467,460,0,466,438.11642,0,505,447,0,503,463,0,509,428,0,552.44666,455,0,627.1236,473,0,1,134.0426215
509,441,453,0,467,460,0,466,438.12363,0,505,447,0,503,463,0,509,428,0,552.55334,455,0,627.1261,473,0,1,134.0676491
510,441,453,0,467,460,0,466,438.1261,0,505,447,0,503,463,0,509,428,0,552.56714,455,0,627.1236,473,0,1,134.0609986
511,441,453,0,467,460,0,466,438.12363,0,505,447,0,503,463,0,509,428,0,552.6546,455,0,627.1164,473,0,1,134.0388178
512,441,453,0,467,460,0,466,438.11642,0,505,447,0,502.90842,463,0,509,428,0,552.6618,455,0,627.10535,473,0,1,134.0309678
513,441,453,0,467,460,0,466,438.10535,0,505,447,0,502.8031,463,0,509,428,0,552.67944,455,0,627.09155,473,0,1,134.0239463
514,441,453,0,467,460,0,466,438.09158,0,505,447,0,502.68668,463,0,509,428.09158,0,552.7823,455,0,627,473,0,1,133.9869533
515,441,453,0,467,460,0,466,438,0,505,447,0,502.56305,463,0,509,428.10535,0,552.8764,455,0,627,473,0,1,133.9945742
516,441,453,0,467,460,0,466,438,0,505,447,0,502.52853,463,0,509,428.11642,0,552.792,455,0,627,473,0,1,133.977035
517,441,453,0,467,460,0,466,438,0,505,447,0,502.51025,463,0,509,428.12363,0,552.69775,455,0,627,473,0,1,133.9284757
518,441,453,0,467,460,0,466,438,0,505,447,0,502.51025,463,0,509,428.1261,0,552.5951,455,0,627,473,0,1,133.9274003
519,441,453,0,467,460,0,466,438,0,505,447,0,502.52853,463,0,509,428.12363,0,552.56305,455,0,627,473,0,1,133.9271792
520,441,453,0,467,460,0,466,438,0,505,447,0,502.56305,463,0,509,428.11642,0,552.43695,455,0,627,473,0,1,133.9031733
521,441,453,0,467,460,0,466,438.09158,0,505,447,0,502.68668,463,0,509,428.10535,0,552.4049,455,0,627,473,0,1,133.9053654
522,441,453,0,467,460,0,466,438.1969,0,505,447,0,502.8031,463,0,509,428.09158,0,552.3938,455,0,626.90845,473,0,1,133.9054245
523,441,452.90842,0,467,460,0,466,438.22174,0,505,447,0,502.90842,463,0,509,428.09158,0,552.4049,455,0,626.89465,473,0,1,133.9148234
524,441,452.8031,0,467,460,0,466,438.24002,0,505,447,0,503,463,0,509,428.1969,0,552.43695,455,0,626.8836,473,0,1,133.9145203
525,441,452.68668,0,467,460,0,466,438.24973,0,505,447,0,503,463,0,509,428.31332,0,552.56305,455,0,626.8764,473,0,1,133.9085514
526,441,452.56305,0,467,460,0,466,438.24973,0,505,447,0,503,463,0,509,428.34537,0,552.68665,455,0,626.8739,473,0,1,133.916014
527,441,452.43695,0,467,460,0,466.09158,438.24002,0,505,447,0,503,463,0,509,428.36615,0,552.8031,455,0,626.8764,473,0,1,133.9989832
528,441,452.31332,0,467,460,0,466.1969,438.22174,0,505,447,0,503,463,0,509,428.37335,0,552.90845,455,0,626.8836,473,0,1,133.9766712
529,441,452.1969,0,467,460,0,466.22174,438.1969,0,505,447,0,503,463,0,509,428.36615,0,553,455,0,626.8031,473,0,1,133.9734244
530,441,452.09158,0,467,460,0,466.24002,438.09158,0,505,447,0,503,463,0,509,428.34537,0,553,455,0,626.7115,473,0,1,133.9761899
