VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Together_1,80,Animal_1,Nose_1,Movement (cm),7.4043
Together_1,80,Animal_1,Nose_1,Velocity (cm/s),14.8087
Together_1,81,Animal_1,Nose_1,Movement (cm),2.8635
Together_1,81,Animal_1,Nose_1,Velocity (cm/s),5.727
Together_1,82,Animal_1,Nose_1,Movement (cm),2.4388
Together_1,82,Animal_1,Nose_1,Velocity (cm/s),4.8775
Together_1,83,Animal_1,Nose_1,Movement (cm),9.0845
Together_1,83,Animal_1,Nose_1,Velocity (cm/s),18.169
Together_1,84,Animal_1,Nose_1,Movement (cm),3.1598
Together_1,84,Animal_1,Nose_1,Velocity (cm/s),6.3196
Together_1,85,Animal_1,Nose_1,Movement (cm),2.9765
Together_1,85,Animal_1,Nose_1,Velocity (cm/s),5.9529
Together_1,86,Animal_1,Nose_1,Movement (cm),3.1237
Together_1,86,Animal_1,Nose_1,Velocity (cm/s),6.2475
Together_1,87,Animal_1,Nose_1,Movement (cm),4.8755
Together_1,87,Animal_1,Nose_1,Velocity (cm/s),9.751
Together_1,88,Animal_1,Nose_1,Movement (cm),4.8812
Together_1,88,Animal_1,Nose_1,Velocity (cm/s),9.7624
Together_1,89,Animal_1,Nose_1,Movement (cm),2.7032
Together_1,89,Animal_1,Nose_1,Velocity (cm/s),5.4063
Together_1,90,Animal_1,Nose_1,Movement (cm),5.1845
Together_1,90,Animal_1,Nose_1,Velocity (cm/s),10.3691
Together_1,91,Animal_1,Nose_1,Movement (cm),5.1911
Together_1,91,Animal_1,Nose_1,Velocity (cm/s),10.3823
Together_1,92,Animal_1,Nose_1,Movement (cm),3.6525
Together_1,92,Animal_1,Nose_1,Velocity (cm/s),7.3049
Together_1,93,Animal_1,Nose_1,Movement (cm),4.9386
Together_1,93,Animal_1,Nose_1,Velocity (cm/s),9.8772
Together_1,94,Animal_1,Nose_1,Movement (cm),10.8774
Together_1,94,Animal_1,Nose_1,Velocity (cm/s),21.7547
Together_1,95,Animal_1,Nose_1,Movement (cm),5.695
Together_1,95,Animal_1,Nose_1,Velocity (cm/s),11.3899
Together_1,96,Animal_1,Nose_1,Movement (cm),11.2868
Together_1,96,Animal_1,Nose_1,Velocity (cm/s),22.5736
Together_1,97,Animal_1,Nose_1,Movement (cm),4.889
Together_1,97,Animal_1,Nose_1,Velocity (cm/s),9.778
Together_1,98,Animal_1,Nose_1,Movement (cm),4.7375
Together_1,98,Animal_1,Nose_1,Velocity (cm/s),9.475
Together_1,99,Animal_1,Nose_1,Movement (cm),4.0176
Together_1,99,Animal_1,Nose_1,Velocity (cm/s),8.0353
Together_1,100,Animal_1,Nose_1,Movement (cm),3.3475
Together_1,100,Animal_1,Nose_1,Velocity (cm/s),6.695
Together_1,101,Animal_1,Nose_1,Movement (cm),1.2884
Together_1,101,Animal_1,Nose_1,Velocity (cm/s),2.5767
Together_1,102,Animal_1,Nose_1,Movement (cm),3.007
