issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
302,linab8,I can't extract frames,[],2,1,https://github.com/sgoldenlab/simba/issues/302,2023-10-24T16:44:37Z,
300,linab8,Stopped while assigning IDs to two animals,[],6,1,https://github.com/sgoldenlab/simba/issues/300,2023-10-21T15:40:56Z,
299,DorianBattivelli,Distance visualisation,[],34,1,https://github.com/sgoldenlab/simba/issues/299,2023-10-20T15:39:47Z,
298,rfkova,Validate Model on Single Video selection is bugged in current version,[],70,1,https://github.com/sgoldenlab/simba/issues/298,2023-10-20T06:00:47Z,
297,Chantal-Wi,SIMBA VIDEO PARAMETERS FILE ERROR,[],1,1,https://github.com/sgoldenlab/simba/issues/297,2023-10-17T12:21:38Z,
296,neurorie,ROI analysis video quality,[],10,1,https://github.com/sgoldenlab/simba/issues/296,2023-10-17T11:37:20Z,
295,FarahnazYF,Analysing wrong bodypart,[],6,1,https://github.com/sgoldenlab/simba/issues/295,2023-10-15T13:00:53Z,
294,nschapp,File in Outlier_Movement__Location Folder Not Found for Analysis,[],24,1,https://github.com/sgoldenlab/simba/issues/294,2023-10-12T13:14:22Z,
293,mrnels19,Include Timestamp for Each Behavioral Bout,[],4,1,https://github.com/sgoldenlab/simba/issues/293,2023-10-10T21:39:41Z,
292,filos93,superimpose frame count on video,[],10,1,https://github.com/sgoldenlab/simba/issues/292,2023-10-09T16:18:11Z,
291,filos93,info on linked events regarding multiple animals occurring in ROI,[],11,1,https://github.com/sgoldenlab/simba/issues/291,2023-10-04T07:50:23Z,
290,filos93,no ROI_features_summary csv file created,[],3,1,https://github.com/sgoldenlab/simba/issues/290,2023-10-03T16:32:18Z,
289,mrnels19,Documents in model_evaluations Folder,[],1,1,https://github.com/sgoldenlab/simba/issues/289,2023-10-02T00:22:00Z,
287,DanieleRomeo,Analyse cleaning behavior in coral reef,[],24,1,https://github.com/sgoldenlab/simba/issues/287,2023-09-26T08:36:14Z,
286,DorianBattivelli,Missing one animal tracking,[],8,1,https://github.com/sgoldenlab/simba/issues/286,2023-09-22T13:46:40Z,
285,neurorie,Successful but then empty CSV upon analysing ROI data,[],9,1,https://github.com/sgoldenlab/simba/issues/285,2023-09-08T15:30:50Z,
284,IsabelleSajonia,Issues importing sleap data,[],36,1,https://github.com/sgoldenlab/simba/issues/284,2023-08-30T19:05:32Z,
