VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),4.890476190476191
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),7.0
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),70.07863274677703
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),34.233333333333334
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),2.3288502023684012
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),10.866666666666667
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1134.8
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),6.1455555555555526
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),30.0
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),328.44860058466173
503_MA109_Gi_CNO_0516,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),184.3666666666666
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.751236625612455
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),275.3333333333333
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),958.4
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),1.19375
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),32.0
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),51.110049237899865
503_MA109_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),38.2
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),2.203629268738119
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),3.066666666666667
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),713.0
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),6.283333333333333
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),18.0
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),162.57302555410723
503_MA109_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),113.1
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),1.5209411367723409
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),230.13333333333333
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),913.9333333333333
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),3.038461538461538
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),39.0
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),205.63949456035627
503_MA109_Gi_CNO_0521,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),118.49999999999997
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.6248262633008965
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),206.26666666666668
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1101.4333333333334
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),0.7598039215686275
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),34.0
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),41.990923616247386
503_MA109_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),25.833333333333336
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),2.8419710951690287
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),2.033333333333333
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1178.9666666666667
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),10.497222222222222
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),24.0
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),311.33569270123695
503_MA109_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),251.93333333333334
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),0.0
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),0.0
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),0.0
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.3507124472691312
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),429.6666666666667
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),483.5
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),0.3
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),6.0
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),1.4255714914090936
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),1.7999999999999998
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),1.58406378310826
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),18.8
503_MA109_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1051.5
