,Feature_name,Feature_importance
335,Nose_movement_M2_median_7.5 Importance,0.0
336,Nose_movement_M2_mean_7.5 Importance,0.0
337,Nose_movement_M2_sum_7.5 Importance,0.0
338,Nose_movement_M2_median_15 Importance,0.0
339,Nose_movement_M2_mean_15 Importance,0.0
340,Nose_movement_M2_sum_15 Importance,0.0
341,Mouse_1_angle        Importance,0.0
342,Mouse_2_angle        Importance,0.0
343,Total_angle_both_mice Importance,0.0
344,Total_angle_both_mice_2 Importance,0.0
345,Total_angle_both_mice_5 Importance,0.0
346,Total_angle_both_mice_6 Importance,0.0
347,Total_angle_both_mice_7.5 Importance,0.0
348,Total_angle_both_mice_15 Importance,0.0
349,Total_movement_all_bodyparts_both_mice_deviation Importance,0.0
350,Sum_euclid_distances_hull_deviation Importance,0.0
351,M1_smallest_euclid_distances_hull_deviation Importance,0.0
352,M1_largest_euclid_distances_hull_deviation Importance,0.0
353,M1_mean_euclid_distances_hull_deviation Importance,0.0
354,Centroid_distance_deviation Importance,0.0
355,Total_angle_both_mice_deviation Importance,0.0
356,Movement_mouse_1_deviation_centroid Importance,0.0
357,Movement_mouse_2_deviation_centroid Importance,0.0
358,Mouse_1_polygon_deviation Importance,0.0
359,Mouse_2_polygon_deviation Importance,0.0
360,Total_movement_all_bodyparts_both_mice_mean_2_deviation Importance,0.0
361,Total_movement_all_bodyparts_both_mice_mean_5_deviation Importance,0.0
362,Total_movement_all_bodyparts_both_mice_mean_6_deviation Importance,0.0
363,Total_movement_all_bodyparts_both_mice_mean_7.5_deviation Importance,0.0
364,Total_movement_all_bodyparts_both_mice_mean_15_deviation Importance,0.0
365,Sum_euclid_distances_hull_mean_2_deviation Importance,0.0
366,Sum_euclid_distances_hull_mean_5_deviation Importance,0.0
367,Sum_euclid_distances_hull_mean_6_deviation Importance,0.0
368,Sum_euclid_distances_hull_mean_7.5_deviation Importance,0.0
369,Sum_euclid_distances_hull_mean_15_deviation Importance,0.0
370,Mouse1_smallest_euclid_distances_mean_2_deviation Importance,0.0
371,Mouse1_smallest_euclid_distances_mean_5_deviation Importance,0.0
372,Mouse1_smallest_euclid_distances_mean_6_deviation Importance,0.0
373,Mouse1_smallest_euclid_distances_mean_7.5_deviation Importance,0.0
